reference_date,target,horizon,target_end_date,country,output_type,output_type_id,value
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.01,96
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.025,110
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.05,124
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.1,143
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.15,158
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.2,171
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.25,184
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.3,197
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.35,208
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.4,218
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.45,230
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.5,241
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.55,254
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.6,268
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.65,282
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.7,297
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.75,315
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.8,339
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.85,366
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.9,405
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.95,464
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.975,525
2025-05-03,inc flu case,-1,2025-04-26,Australia,quantile,0.99,617
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.01,84
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.025,104
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.05,122
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.1,145
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.15,164
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.2,178
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.25,196
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.3,210
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.35,225
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.4,240
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.45,255
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.5,272
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.55,290
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.6,308
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.65,327
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.7,350
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.75,378
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.8,409
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.85,449
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.9,507
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.95,597
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.975,699
2025-05-03,inc flu case,0,2025-05-03,Australia,quantile,0.99,849
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.01,89
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.025,110
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.05,130
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.1,157
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.15,183
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.2,202
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.25,224
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.3,243
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.35,262
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.4,282
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.45,302
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.5,323
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.55,345
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.6,369
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.65,398
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.7,430
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.75,467
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.8,511
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.85,571
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.9,645
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.95,775
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.975,921
2025-05-03,inc flu case,1,2025-05-10,Australia,quantile,0.99,1101
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.01,92
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.025,116
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.05,144
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.1,174
